Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1963,-.14,-.14,-.16,-.19,-.07,.13,.03,.30,.22,-.12,-.12,-.08,-.03,-.03,-.14,-.14,.15,-.01
1964,-.13,-.17,-.10,-.32,-.40,.01,.04,-.21,-.31,-.32,-.21,-.33,-.20,-.18,-.13,-.27,-.05,-.28
1965,-.15,.02,-.16,-.12,-.10,.04,-.08,.12,-.10,-.08,-.15,-.07,-.07,-.09,-.15,-.13,.03,-.11
1966,-.12,-.12,.08,-.03,-.19,-.04,.06,-.30,-.12,-.23,-.03,-.02,-.09,-.09,-.10,-.05,-.10,-.13
1967,.03,-.04,-.14,-.14,.04,-.10,-.01,-.05,-.10,-.12,-.14,-.12,-.08,-.07,-.01,-.08,-.05,-.12
1968,-.23,-.13,-.04,-.11,-.22,-.14,-.17,-.09,-.32,.18,.13,.05,-.09,-.11,-.16,-.13,-.13,.00
1969,.22,.12,.22,.31,.26,.10,-.13,.04,.13,.17,.10,.19,.14,.13,.13,.26,.00,.13
1970,.20,.17,.19,.13,-.06,-.06,.08,-.15,.28,.25,.02,.06,.09,.10,.19,.09,-.04,.19
1971,.09,-.10,-.08,.06,.01,-.19,-.02,.14,.03,.06,-.13,-.04,-.01,-.01,.02,.00,-.02,-.01
1972,.10,.17,.04,.12,.10,.19,.09,.40,.31,.21,.25,.42,.20,.16,.08,.09,.23,.26
1973,.44,.22,.26,.36,.36,.22,.22,.08,.26,.27,.18,-.10,.23,.27,.36,.33,.17,.23
1974,.05,-.18,-.14,-.14,.11,.08,.06,.30,.00,.10,.05,.09,.03,.02,-.08,-.06,.15,.05
1975,.04,.06,.14,.02,.33,.06,.05,-.20,.02,-.06,-.05,-.13,.02,.04,.06,.16,-.03,-.03
1976,-.12,-.01,-.12,-.17,-.15,-.04,.07,-.03,.00,.04,.21,.47,.01,-.04,-.09,-.15,.00,.08
1977,.53,.34,.22,.27,.42,.31,.32,.33,-.08,.09,.06,.04,.24,.27,.45,.31,.32,.02
1978,-.03,.16,.17,.26,.24,.11,.15,-.12,.12,.06,.11,.13,.11,.11,.06,.22,.05,.10
1979,.22,.16,.20,.48,.06,.21,.03,.30,.31,.29,.33,.41,.25,.23,.17,.25,.18,.31
1980,.39,.38,.52,.44,.44,.23,.30,.27,.31,.15,.38,.34,.35,.35,.39,.47,.27,.28
1981,.25,.22,.28,.26,.31,.30,.55,.53,.16,.02,.11,.28,.27,.28,.27,.28,.46,.09
1982,.24,.14,.01,.13,.27,.11,.25,.15,.23,.27,.47,.48,.23,.21,.22,.14,.17,.32
1983,.51,.52,.41,.50,.63,.36,.18,.46,.49,.22,.12,.23,.39,.41,.50,.51,.34,.28
1984,.28,.26,.35,.19,.42,-.03,.30,.33,.46,.19,.23,.34,.28,.27,.26,.32,.20,.29
1985,.37,.22,.35,.27,.20,.29,.16,.34,.24,.21,.09,.12,.24,.26,.31,.28,.26,.18
1986,.16,.43,.34,.30,.23,.11,.25,.27,.09,.22,.18,.21,.23,.23,.23,.29,.21,.16
1987,.39,.36,.37,.42,.29,.54,.56,.24,.33,.45,.49,.43,.41,.39,.32,.36,.45,.42
1988,.55,.43,.56,.42,.45,.40,.25,.53,.47,.52,.19,.15,.41,.43,.47,.48,.39,.39
1989,.16,.19,.26,.26,.13,.07,.37,.40,.46,.33,.28,.41,.28,.26,.17,.21,.28,.36
1990,.36,.33,.42,.42,.41,.28,.58,.28,.05,.41,.47,.43,.37,.37,.36,.42,.38,.31
1991,.26,.43,.25,.46,.35,.59,.52,.43,.52,.29,.27,.43,.40,.40,.37,.36,.52,.36
1992,.34,.30,.42,.40,.44,.48,.28,.24,.18,.31,.14,.22,.31,.33,.36,.42,.33,.21
1993,.30,.21,.33,.32,.26,.24,.38,.19,.30,.36,.29,.15,.28,.28,.24,.31,.27,.31
1994,.19,.09,.09,.35,.17,.45,.27,.11,.30,.31,.39,.42,.26,.24,.14,.20,.28,.34
1995,.30,.38,.34,.22,.13,.36,.54,.37,.24,.33,.33,.25,.32,.33,.37,.23,.43,.30
